"duckdb","stream_build","sf","rep","scenario","query","rows","elapsed_s","peak_rss_mb","r_alloc_mb","engine_mem_mb","note"
"1.5.5.9010",TRUE,0.2,3,"stream_all","sorted",1199969,2.908,490.5,297.1,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_chunked","sorted",1199969,2.275,290.2,139.5,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_chunked","sorted",1199969,2.266,291.1,139.5,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_chunked","sorted",1199969,2.306,290.4,139.5,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"arrow_drain","sorted",1199969,0.996,413.6,61.3,32.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"arrow_drain","sorted",1199969,0.922,417.4,61.3,32.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"arrow_drain","sorted",1199969,1.027,412.9,61.3,32.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"engine_only","sorted",1199969,0.48,410.3,69.6,249.4,"ok"
"1.5.5.9010",TRUE,0.2,2,"engine_only","sorted",1199969,0.462,409.9,69.6,249.4,"ok"
"1.5.5.9010",TRUE,0.2,3,"engine_only","sorted",1199969,0.476,410.4,69.6,249.4,"ok"
"1.5.5.9010",TRUE,0.2,1,"spill_then_stream","sorted",1199969,2.035,431.5,139.5,249.4,"ok"
"1.5.5.9010",TRUE,0.2,2,"spill_then_stream","sorted",1199969,2.004,431.4,139.5,249.4,"ok"
"1.5.5.9010",TRUE,0.2,3,"spill_then_stream","sorted",1199969,2.039,431.6,139.5,249.4,"ok"
"1.5.5.9010",TRUE,0.2,1,"materialize","strings",1199969,2.023,287.1,221.1,20.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize","strings",1199969,1.886,287.4,221.1,20.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize","strings",1199969,1.996,287.1,221.1,20.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"materialize_chunked","strings",1199969,2.645,287.3,255.3,20.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"materialize_chunked","strings",1199969,2.917,287.4,255.3,20.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"materialize_chunked","strings",1199969,2.648,287.4,255.3,20.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_all","strings",1199969,2.189,293.8,205.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_all","strings",1199969,2.06,293.8,205.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_all","strings",1199969,2.045,293.8,205.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"stream_chunked","strings",1199969,1.445,91.4,139.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"stream_chunked","strings",1199969,1.398,91.1,139.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"stream_chunked","strings",1199969,1.328,89.1,139.5,20.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"arrow_drain","strings",1199969,0.372,106.1,61,20.8,"ok"
"1.5.5.9010",TRUE,0.2,2,"arrow_drain","strings",1199969,0.338,105,61,20.8,"ok"
"1.5.5.9010",TRUE,0.2,3,"arrow_drain","strings",1199969,0.33,105.7,61,20.8,"ok"
"1.5.5.9010",TRUE,0.2,1,"engine_only","strings",1199969,0.18,116.6,69.6,127.6,"ok"
"1.5.5.9010",TRUE,0.2,2,"engine_only","strings",1199969,0.181,116.5,69.6,127.6,"ok"
"1.5.5.9010",TRUE,0.2,3,"engine_only","strings",1199969,0.192,116.6,69.6,127.6,"ok"
"1.5.5.9010",TRUE,0.2,1,"spill_then_stream","strings",1199969,1.376,191.4,139.5,127.6,"ok"
"1.5.5.9010",TRUE,0.2,2,"spill_then_stream","strings",1199969,1.503,192.5,139.5,127.6,"ok"
"1.5.5.9010",TRUE,0.2,3,"spill_then_stream","strings",1199969,1.46,191.7,139.5,127.6,"ok"
